"","Name","Platform","Year_of_Release","Genre","Publisher","Global_Sales","Critic_Score","User_Score","Developer"
"1","Wii Sports","Wii","2006","Sports","Nintendo",82.53,76,8,"Nintendo"
"3","Mario Kart Wii","Wii","2008","Racing","Nintendo",35.52,82,8.3,"Nintendo"
"4","Wii Sports Resort","Wii","2009","Sports","Nintendo",32.77,80,8,"Nintendo"
"7","New Super Mario Bros.","DS","2006","Platform","Nintendo",29.8,89,8.5,"Nintendo"
"8","Wii Play","Wii","2006","Misc","Nintendo",28.92,58,6.6,"Nintendo"
"9","New Super Mario Bros. Wii","Wii","2009","Platform","Nintendo",28.32,87,8.4,"Nintendo"
"12","Mario Kart DS","DS","2005","Racing","Nintendo",23.21,91,8.6,"Nintendo"
"14","Wii Fit","Wii","2007","Sports","Nintendo",22.7,80,7.7,"Nintendo"
"15","Kinect Adventures!","X360","2010","Misc","Microsoft Game Studios",21.81,61,6.3,"Good Science Studio"
"16","Wii Fit Plus","Wii","2009","Sports","Nintendo",21.79,80,7.4,"Nintendo"
"17","Grand Theft Auto V","PS3","2013","Action","Take-Two Interactive",21.04,97,8.2,"Rockstar North"
"18","Grand Theft Auto: San Andreas","PS2","2004","Action","Take-Two Interactive",20.81,95,9,"Rockstar North"
"20","Brain Age: Train Your Brain in Minutes a Day","DS","2005","Misc","Nintendo",20.15,77,7.9,"Nintendo"
"24","Grand Theft Auto V","X360","2013","Action","Take-Two Interactive",16.27,97,8.1,"Rockstar North"
"25","Grand Theft Auto: Vice City","PS2","2002","Action","Take-Two Interactive",16.15,95,8.7,"Rockstar North"
"27","Brain Age 2: More Training in Minutes a Day","DS","2005","Puzzle","Nintendo",15.29,77,7.1,"Nintendo"
"29","Gran Turismo 3: A-Spec","PS2","2001","Racing","Sony Computer Entertainment",14.98,95,8.4,"Polyphony Digital"
"30","Call of Duty: Modern Warfare 3","X360","2011","Shooter","Activision",14.73,88,3.4,"Infinity Ward, Sledgehammer Games"
"33","Call of Duty: Black Ops","X360","2010","Shooter","Activision",14.61,87,6.3,"Treyarch"
"35","Call of Duty: Black Ops II","PS3","2012","Shooter","Activision",13.79,83,5.3,"Treyarch"
"36","Call of Duty: Black Ops II","X360","2012","Shooter","Activision",13.67,83,4.8,"Treyarch"
"37","Call of Duty: Modern Warfare 2","X360","2009","Shooter","Activision",13.47,94,6.3,"Infinity Ward"
"38","Call of Duty: Modern Warfare 3","PS3","2011","Shooter","Activision",13.32,88,3.2,"Infinity Ward, Sledgehammer Games"
"39","Grand Theft Auto III","PS2","2001","Action","Take-Two Interactive",13.1,97,8.5,"DMA Design"
"40","Super Smash Bros. Brawl","Wii","2008","Fighting","Nintendo",12.84,93,8.9,"Game Arts"
"41","Mario Kart 7","3DS","2011","Racing","Nintendo",12.66,85,8.2,"Retro Studios, Entertainment Analysis & Development Division"
"42","Call of Duty: Black Ops","PS3","2010","Shooter","Activision",12.63,88,6.4,"Treyarch"
"43","Grand Theft Auto V","PS4","2014","Action","Take-Two Interactive",12.61,97,8.3,"Rockstar North"
"44","Animal Crossing: Wild World","DS","2005","Simulation","Nintendo",12.13,86,8.7,"Nintendo"
"45","Halo 3","X360","2007","Shooter","Microsoft Game Studios",12.12,94,7.8,"Bungie Software, Bungie"
"49","Gran Turismo 4","PS2","2004","Racing","Sony Computer Entertainment",11.66,89,8.5,"Polyphony Digital"
"50","Super Mario Galaxy","Wii","2007","Platform","Nintendo",11.35,97,8.9,"Nintendo"
"52","Grand Theft Auto IV","X360","2008","Action","Take-Two Interactive",11.01,98,7.9,"Rockstar North"
"53","Gran Turismo","PS","1997","Racing","Sony Computer Entertainment",10.95,96,8.7,"Polyphony Digital"
"54","Super Mario 3D Land","3DS","2011","Platform","Nintendo",10.81,90,8.4,"Nintendo"
"55","Gran Turismo 5","PS3","2010","Racing","Sony Computer Entertainment",10.7,84,7.5,"Polyphony Digital"
"56","Call of Duty: Modern Warfare 2","PS3","2009","Shooter","Activision",10.6,94,6.3,"Infinity Ward"
"58","Grand Theft Auto IV","PS3","2008","Action","Take-Two Interactive",10.5,98,7.5,"Rockstar North"
"61","Call of Duty: Ghosts","X360","2013","Shooter","Activision",10.25,73,2.6,"Infinity Ward"
"62","Just Dance 3","Wii","2011","Misc","Ubisoft",10.12,74,7.8,"Ubisoft"
"63","New Super Mario Bros. 2","3DS","2012","Platform","Nintendo",9.9,78,7.2,"Nintendo"
"65","Halo: Reach","X360","2010","Shooter","Microsoft Game Studios",9.86,91,7.9,"Bungie"
"66","Final Fantasy VII","PS","1997","Role-Playing","Sony Computer Entertainment",9.72,92,9.2,"SquareSoft"
"67","Halo 4","X360","2012","Shooter","Microsoft Game Studios",9.71,87,7,"343 Industries"
"68","Gran Turismo 2","PS","1999","Racing","Sony Computer Entertainment",9.49,93,9,"Polyphony Digital"
"69","Just Dance 2","Wii","2010","Misc","Ubisoft",9.44,74,7.3,"Ubisoft"
"70","Call of Duty: Ghosts","PS3","2013","Shooter","Activision",9.36,71,2.6,"Infinity Ward"
"71","Call of Duty 4: Modern Warfare","X360","2007","Shooter","Activision",9.31,94,8.4,"Infinity Ward"
"74","Animal Crossing: New Leaf","3DS","2012","Simulation","Nintendo",9.16,88,8.7,"Nintendo"
"75","Mario Party DS","DS","2007","Misc","Nintendo",8.91,72,7.8,"Hudson Soft"
"76","The Elder Scrolls V: Skyrim","X360","2011","Role-Playing","Bethesda Softworks",8.79,96,8.4,"Bethesda Game Studios"
"78","FIFA 16","PS4","2015","Sports","Electronic Arts",8.57,82,4.3,"EA Sports"
"79","Halo 2","XB","2004","Shooter","Microsoft Game Studios",8.49,95,8.2,"Bungie Software"
"80","Wii Party","Wii","2010","Misc","Nintendo",8.38,68,7.4,"Nd Cube"
"81","Mario Party 8","Wii","2007","Misc","Nintendo",8.27,62,6.3,"Hudson"
"82","FIFA Soccer 13","PS3","2012","Action","Electronic Arts",8.16,88,6.6,"Electronic Arts"
"85","Final Fantasy X","PS2","2001","Role-Playing","Sony Computer Entertainment",8.05,92,8.7,"SquareSoft"
"86","The Sims 3","PC","2009","Simulation","Electronic Arts",8.01,86,7.6,"The Sims Studio"
"89","Final Fantasy VIII","PS","1999","Role-Playing","SquareSoft",7.86,90,8.6,"SquareSoft"
"91","Pokémon Platinum Version","DS","2008","Role-Playing","Nintendo",7.72,83,8.5,"Game Freak"
"92","Grand Theft Auto: Liberty City Stories","PSP","2005","Action","Take-Two Interactive",7.69,88,7.6,"Rockstar Leeds"
"93","Call of Duty: Advanced Warfare","PS4","2014","Shooter","Activision",7.66,83,5.7,"Sledgehammer Games"
"95","FIFA 17","PS4","2016","Sports","Electronic Arts",7.59,85,5,"EA Sports, EA Vancouver"
"98","Super Mario Galaxy 2","Wii","2010","Platform","Nintendo",7.51,97,9.1,"Nintendo EAD Tokyo"
"101","Call of Duty: World at War","X360","2008","Shooter","Activision",7.38,84,7.6,"Treyarch"
"102","Battlefield 3","X360","2011","Shooter","Electronic Arts",7.32,84,7.4,"EA DICE"
"103","Need for Speed Underground","PS2","2003","Racing","Electronic Arts",7.2,85,8.6,"EA Black Box"
"104","Just Dance","Wii","2009","Misc","Ubisoft",7.2,49,8,"Ubisoft Paris"
"105","Battlefield 3","PS3","2011","Shooter","Electronic Arts",7.17,85,7.5,"EA DICE"
"106","Fallout 4","PS4","2015","Role-Playing","Bethesda Softworks",7.16,87,6.5,"Bethesda Game Studios"
"107","Tekken 3","PS","1998","Fighting","Sony Computer Entertainment",7.16,96,9.1,"Namco"
"108","The Legend of Zelda: Twilight Princess","Wii","2006","Action","Nintendo",7.15,95,9,"Nintendo"
"110","Crash Bandicoot 3: Warped","PS","1998","Platform","Sony Computer Entertainment",7.13,91,8.9,"Naughty Dog"
"111","Mario Kart 8","WiiU","2014","Racing","Nintendo",7.09,88,9.1,"Nintendo"
"112","Super Smash Bros. Melee","GC","2001","Fighting","Nintendo",7.07,92,9.1,"HAL Labs"
"114","Need for Speed Underground 2","PS2","2004","Racing","Electronic Arts",6.9,82,8.6,"EA Canada"
"115","Medal of Honor: Frontline","PS2","2002","Shooter","Electronic Arts",6.83,88,8.5,"EA LA"
"117","Just Dance 4","Wii","2012","Misc","Ubisoft",6.76,74,7.3,"Ubisoft"
"118","Gears of War 2","X360","2008","Shooter","Microsoft Game Studios",6.75,93,7.7,"Epic Games"
"119","Uncharted 3: Drake's Deception","PS3","2011","Action","Sony Computer Entertainment",6.74,92,8.3,"Naughty Dog"
"121","Call of Duty 4: Modern Warfare","PS3","2007","Shooter","Activision",6.68,94,8.4,"Infinity Ward"
"122","Uncharted 2: Among Thieves","PS3","2009","Action","Sony Computer Entertainment",6.66,96,8.8,"Naughty Dog"
